Adplay Technologies (VU Mobile),"JavaScript,React,WordPress","<a href=""http://vumobile.biz/"">Website</a>","Head Office: 4th Floor, House- 114, Road-12, Block-E, Banani, Dhaka-1213"
Adventure Dhaka Limited,"Golang,JAVA,Swift,Flutter,Javascript,React,Nextjs,DevOps","<a href=""https://adventurekk.com/company/about/"">Website</a>","Head Office: Autograph Tower, 67-68, Kemal Ataturk Avenue, Banani, 17th &amp; 8th Floor, Dhaka, Dhaka 1213"
Anchorblock Technology,"JavaScript,Python,ReactJS,NodeJS,NestJS,Django,Hyperledger Fabric,Flutter,Android,Solidity,Smart Contact,Machine Learning,AWS","<a href=""https://anchorblock.ai/"">Website</a>","Block C House, 57 Rd Number 4, Dhaka 1213"
Apex DMIT,"PHP,JavaScript,Python,Flutter","<a href=""https://www.apexdmit.com/"">Website</a>","Catharsis Tower, (6th Floor) House #133, Road #12, Block-E, Banani, Dhaka, 1213"
Appnap,iOS,"<a href=""https://www.appnap.io/"">Website</a>","Ranks Business Center (5th Floor), Ka-218/1, Pragati Sarani, Kuril, Dhaka-1229"
AppsCode Ltd.,"Golang,Docker,Kubernetes,Vue.js","<a href=""https://www.appscode.com/"">Website</a>
<a href=""https://www.linkedin.com/company/appscode/"">LinkedIn</a>","Flat A2, House 4, Rd No. 10, Dhaka 1230"
Appstick,"iOS,Android,Flutter,React Native","<a href=""https://appstick.com.bd/"">Website</a>","85, KDA Outer Bypass Rd, Khulna 9100"
Apurba Technologies Ltd.,"Java,Python,PHP,Docker,Kubernetes,Spring,JavaScript,AWS,Machine Learning","<a href=""http://apurba.com.bd"">Website</a>
<a href=""https://www.linkedin.com/company/apurba-technologies-ltd"">LinkedIn</a>","Road 22, House B/158, Flat 3(2nd Floor), Mohakhali New DOHS Dhaka, Bangladesh"
Aqualink Bangladesh Ltd.,"Flutter,Machine Learning,Laravel,Embedded System,Python","<a href=""https://aqualinkbangladesh.com"">Website</a>","Road 28, House 26, Flat 2(2nd Floor), Block K, Banani Dhaka, Bangladesh"
Astha IT,"Java,Spring Boot,JavaScript,React,Vue.js,Angular,HTML5,CSS,UI/UX,Android,AWS,Docker,Kubernetes,Selenium,Testsigma","<a href=""https://www.asthait.com/"">Website</a>
<a href=""https://www.linkedin.com/company/asthait/"">LinkedIn</a>
<a href=""https://www.facebook.com/asthait"">Facebook</a>
<a href=""https://twitter.com/AsthaIT"">Twitter</a>","Sel Rose N Dale, 116 Kazi Nazrul Islam Ave, Dhaka – 1205, Bangladesh."
Augmedix Inc.,"Android,Java,Spring,Go,JavaScript,AngularJS,NodeJS,AWS,Machine Learning","<a href=""https://www.augmedix.com/"">Website</a>","SS Steel Building, Suite 203, 17/C Panthapath, Dhaka"
Avenir IP Limited,"PHP,nodeJS,ReactJS,Android,Swift","<a href=""https://aveniripltd.com/"">Website</a>","Concord Honeydew, Office Suite 201, House-18, Road-101, Gulshan-2, Dhaka 1212"
authLab,"WordPress,JavaScript,React,Vue,JQuery,AWS,PHP,Laravel","<a href=""https://authlab.io/"">Website</a>","24/a Shah Farid Rd, Sylhet, Bangladesh"
Alchemy Software Limited,"Java,Oracle,PHP,WordPress,Laravel,.Net,Android","<a href=""https://alchemy-bd.com/"">Website</a>","335, M.M Ali Road, Yahya Tower (6th Floor) Lalkhan Bazar, Chittagong, Bangladesh."
Bdtask,"Android,Web,WordPress","<a href=""https://www.bdtask.com/"">Website</a>","B-25, Mannan Plaza, 4th Floor, Khilkhet, Dhaka-1229, Bangladesh"
Binate Solutions,"Java,Python,Ruby,WordPress,Magento","<a href=""https://www.binate-solutions.com/"">Website</a>","House-1148 (1st, 3rd, &amp; 4th floor), Road 9A(Old-48), Mirpur DOHS, Dhaka-1216, Bangladesh"
Bit Mascot (Pvt.) Ltd.,"Java,Spring,.NET,JavaScript,jQuery,Python,TensorFlow,WordPress","<a href=""https://www.bitmascot.com/"">Website</a>","Flat 12/E, House 11/8/E, Free School Street, Panthapath, Dhaka 1205"
Bondstein Technologies Limited,"IoT,JavaScript,Node,React,Angular,PHP,MySQL","<a href=""https://bondstein.com/"">Website</a>","Level 5, 138/1 Tejgaon I/A, Dhaka-1208."
Brac IT Services (biTS),"Java,Android,PHP","<a href=""https://www.bracits.com"">Website</a>
<a href=""https://www.linkedin.com/company/bracits/"">LinkedIn</a>","Homaira Bhaban, House 115, Road 5, Block B, Niketan, Gulshan 1, Dhaka 1212, Bangladesh"
Braincraft Limited,"Android,Java,Go,Javascript,AngularJS,NodeJS","<a href=""https://www.braincraftapps.com"">Website</a>","House: 295, Road: 19/B, Mohakhali DOHS, Dhaka-1206"
Brain Station 23 PLC,"Android,IOS,React,React-Native,Odoo,Xamarin,.Net,PHP,Python,Java,AEM,Sitecore","<a href=""http://www.brainstation-23.com/"">Website</a>
<a href=""https://www.linkedin.com/company/brain-station-23-plc/"">LinkedIn</a>","8th floor, Plot 2, Amtoli, Bir Uttam AK Khandakar Rd Mohakhali Commercial Area, Dhaka-1212"
BJIT Ltd.,"Java,JEE,Groovy,PHP,C#,Android,iOS,IoT,Fintech,AI","<a href=""http://bjitgroup.com"">Website</a>
<a href=""https://www.linkedin.com/company/bjit/"">LinkedIn</a>","House-07, Road-2/C, Block-J, Baridhara, Dhaka-1212, Bangladesh"
Brotecs Technologies Ltd (USA),"C,PHP,Android,iOS,.NET","<a href=""http://www.brotecs.com"">Website</a>","28, Shahjalal Avenue, Sector-4, Uttara, Dhaka, BD"
belivIT,"Android,iOS,PHP,BI Solution","<a href=""https://www.belivit.com"">Website</a>","30/A, Sattara Centre (14th floor), VIP Road, Naya Paltan, Dhaka-1000"
BlueBees Limited,"PHP,.Net,Flutter,AngularJS,VueJS","<a href=""https://bluebees.ventures"">Website</a>","Manama MS Toren, 8th Floor GA-99/3/A/B, Pragati Sarani, Middle Badda, Gulshan, Dhaka 1212, Bangladesh"
Circle Fintech,"IOT,Blockchain,Artificial Intelligence,React,Javascript,Python,Node,Django","<a href=""https://www.circlefintech.com/"">Website</a>","89 Bir Uttam CR Datta Raod, Sonargaon Road, Dhaka 1205, Bangladesh"
CodersTrust,"Wordpress,PHP,Javascript/Typescript,Python,Scala,Kubernetes,Lambda,AWS","<a href=""https://coderstrust.global/"">Website</a>
<a href=""https://www.facebook.com/Coderstrust"">Facebook</a>","House-82, Road-19/A, Block-E, Banani, Dhaka-1213, Bangladesh"
Craftsmen (EU),"JavaScript/TypeScript,Node.js,Python,React/Vue.js,Redux,React Native,AWS,Serverless Framework,AI/Machine Learning,GCP,Azure,IBM Watson","<a href=""https://www.craftsmenltd.com/"">Website</a>
<a href=""https://www.linkedin.com/organization-guest/company/craftsmenltd"">LinkedIn</a>
<a href=""https://www.facebook.com/craftsmenltd/"">Facebook</a>","House 272 (1st Floor), Lane 3 (Eastern Road), DOHS Baridhara, Dhaka 1206, Bangladesh."
Cefalo Bangladesh,"Android,.Net,Python,Rails,React,IOS","<a href=""https://cefalo.com/"">Website</a>","House:12, Road:12, Dhanmondi, Dhaka"
Chaldal Engineering,".NET,F#,C#,SQL Server,TypeScript,JavaScript,Xamarin,Android,React,React Native,Microsoft Orleans","<a href=""https://chaldal.tech/"">Engineering and Career Website</a>
<a href=""https://chaldal.com/"">Main Website</a>","House 6, Road 9, Block C, Banani"
Chumbok IT,"Java,Spring Boot,Data JPA / Hibernate,AngularJS","<a href=""https://chumbok.com"">Website</a>
<a href=""https://www.facebook.com/ChumbokIT"">Facebook</a>
<a href=""https://www.linkedin.com/company/chumbok-it"">LinkedIn</a>
<a href=""https://github.com/ChumbokIT"">Github</a>",<em>Remote</em>
COdesign,"WordPress,HTML,CSS,React,PHP,MySQL","<a href=""https://codesign.com.bd/"">Website</a>","Level-8 Plot, Rangs Paramount, 11 Rd No 17, Dhaka 1213"
Codemen Solutions,"JavaScript,TypeScript,.NET,React,Node.js,MongoDB,AWS","<a href=""http://www.codemen.com"">Website</a>","90/B, Uttara bank building (4th floor), Malibagh Chowdhury Para, 1219 DIT Road, Dhaka 1219"
Computer Source InfoTech,"PHP,Oracle,Java","<a href=""http://csinfotechbd.com/"">Website</a>","49 Kawran Bazar Rd, Dhaka 1215"
Codinism,"iOS,Android,Web app","<a href=""http://www.codinism.com"">Website</a>","J 152/1 Mohakhali WirelessGate, Dhaka -1212"
Commlink Info Tech Limited,"Java,Spring","<a href=""https://www.commlinkinfotech.com/"">Website</a>","House 3 Road 23/A, Gulshan-1, Dhaka-1212, Bangladesh."
DataSoft,"Java,Spring Boot,C#,.Net,Angular/Vue/JQuery","<a href=""http://datasoft-bd.com/"">Website</a>","Rupayan Shelford (20th floor), 23/6, Mirpur Road, Shyamoli, Dhaka-1207, Bangladesh."
Data Grid Limited,"C#,.Net,Angular/Vue/JQuery","<a href=""https://datagridltd.com/"">Website</a>","New Vision Twin Terrace, Suit: 1D, 68 Pioneer Road (1st Floor), Kakrail, Segun Bagicha, Dhaka-1000, Bangladesh"
Daffodil Software Limited (DSL),"Java,.NET,PHP,Android,iOS","<a href=""http://daffodilsoft.com/"">Website</a>","DF Tower (Level: 11-A), House 11, Road 14, Dhanmondi, Dhaka-1209"
Databiz Software Limited,".NET,PHP,Android,iOS","<a href=""http://www.databizsoftware.com/"">Website</a>","Mirpur DOHS Avenue 3. Road 12, House 860-861, Dhaka 1216"
Dhrubok Infotech Services Ltd.,"Java,Spring Boot,Javascript,React,NextJs,Android,IOS,Flutter","<a href=""https://dhrubokinfotech.com/"">Website</a>
<a href=""https://www.linkedin.com/company/dhrubokinfotech/"">LinkedIn</a>","Sara Aftab Tower (11th floor), 29 Ring Road, Shyamoli, Dhaka 1207"
Divine IT Limited,"Python,Django,Flask,SQLAlchemy,Django ORM,React,Node,Vue,Angular","<a href=""https://www.divineit.net/"">Website</a>","House 29, Road 12, Sector 10, Uttara, Dhaka-1230"
Dingi Technologies,"JavaScript,Java,React,Node,Google Maps,Firebase,Flutter","<a href=""https://www.dingi.tech/"">Website</a>","Floor 4, Wakil Tower, Ta 131, Gulshan Badda Link Road, Dhaka 1212, Bangladesh"
Dizi Nova Limited,"JavaScript,C#,React,.Net,Flutter","<a href=""http://www.dizinova.com/"">Website</a>","House 19, Road 20, Sector 13, Dhaka, Dhaka 1230, Bangladesh"
Dream71,"PHP,Laravel,JavaScript,MYSQL,Android,Flutter,iOS","<a href=""http://www.dream71.com/"">Website</a>","House No 16 (Level 4), Bashundhara R/A, Main Road, Block – A, Dhaka-1229, Bangladesh."
Dcastalia Limited,"Web,Android and iOS","<a href=""https://dcastalia.com/"">Website</a>","5B, House 91, Road 04, Block B, Banani, Dhaka 1213, Bangladesh"
Dynamic Solution Innovators Ltd. (DSi),"Java,Springboot,Nodejs(hapi),Hibernate,ReactJs,NextJs,AngularJS,Android,iOS","<a href=""http://www.dsinnovators.com"">Website</a> <a href=""https://www.linkedin.com/company/dsinnovators/"">LinkedIn</a> <a href=""https://www.facebook.com/DynamicSolutionInnovators/"">Facebook</a>","House 177, Lane 2, New DOHS Mohakhali, Dhaka 1206, Bangladesh"
Dohatec New Media,".NET,Java,Spring,Python,AngularJS","<a href=""http://www.dohatec.com/"">Website</a>","43, Doha House, Purana Paltan Lane, Dhaka"
Embedded Logic Operations (ELO),"Node,React,Angular,Nextjs,Nestjs,PHP,Laravel,AWS,Docker,Mongo,PostgreSQL,MySQL/MariaDB,Google Firebase,Flutter,WordPress,Cypress,UI/UX","<a href=""https://elobyte.com/"">Website</a>","39, Bir Uttam C.R Dutta Road, Dhaka [Remote First]"
Enosis Solutions (USA),"Java,PHP,Python,C#","<a href=""http://enosisbd.com"">Website</a>","House-27 Rd No 8, Gulshan-1, Dhaka-1212"
Escenic (Norway),Java,"<a href=""http://www.escenic.com/"">Website</a>","Kaderia Tower, JA 28/8B Bir Uttam AK Khandakar Rd, Dhaka 1212"
E Soft Limited,"Python,FastApi,Streamlit,PostgreSQL,Docker,Linux","<a href=""https://www.linkedin.com/company/esoftlimited/"">LinkedIn</a>","Rangs Babylonia, Level 7, 246, Bir Uttam Mir Shawkat Road, Tejgaon I/A, Tejgaon, Dhaka-1208"
Evaly Limited,"NodeJS,ExpressJS,Python,Django,GoLang,REST,Microservices,SQL,NoSQL,SQS,SNS,MQTT","<a href=""https://evaly.com.bd/career/"">Website</a>","House 8, Road 14, Dhanmondi, Dhaka-1209"
Exabyting Technologies,"JAVA,Spring,PHP,Laravel,JavaScript,NodeJS,ExpressJS,Python,Django,REST,Microservices,SQL,NoSQL,SQS,SNS","<a href=""http://exabyting.com/"">Website</a>","8th Floor, House# 470, Road# 31, Mohakhali DOHS, Dhaka 1212, Bangladesh"
Fieldbuzz (Germany),"Python,Django,Android,Java","<a href=""https://www.field.buzz"">Website</a>","Azhar Comfort Complex (5th floor), Ga-130/A Progoti Shoroni, Middle Badda, Dhaka"
Fiftytwo,"C,C++,Angular,SQL","<a href=""https://www.fiftytwo.com"">Website</a>","House 04, Road 9/B, Nikunja-1, Dhaka-1229"
FIGLAB,"PHP,Database","<a href=""https://figlab.io/"">Website</a>","Suite #3B, Haque Chamber, 89/2 West Panthapath, Dhaka, Bangladesh."
Flyte Solutions,"JavaScript,Node,React,React Native,Android,iOS","<a href=""https://flytesolutions.com"">Website</a>","House 11, Level C1, The Reeve, Rd 33, Gulshan 1, Dhaka 1212, Bangladesh"
Frontier Semiconductor (FSM) (USA),"C,C++,MFC,Open CV,Open GL","<a href=""http://www.frontiersemi.com/center/home.php"">Website</a>","Wasi Tower (FL: 7 CD), ECB Chattar, Matikata Rd, Dhaka"
Furqan Software,"Go,MongoDB,Redis,RabbitMQ,ElasticSearch,PHP,Laravel,JavaScript,React,Firebase","<a href=""https://furqansoftware.com/"">Website</a>","House 29 (Flat 4B), Road 20, Block K, Banani, Dhaka-1213"
Genex Infosys Limited,"Artificial Intelligence and automation,Cyber security,SaaS,Digital marketing and content development","<a href=""http://genexinfosys.com/"">Website</a>","Nitol Niloy Tower (Level 8), Nikunja C/A, Airport Road, Dhaka-1229"
Genuity Systems Ltd,"Artificial Intelligence and automation,Fintech,SaaS,Mobile Development,Web Development","<a href=""https://genusys.us/"">Website</a>","Mirpur 11 bus stand, Opposite to Shishu Academy, Mirpur, Dhaka."
Giga Tech Limited,"Artificial Intelligence,Deep Learning,Blockchain,Java,Python,Django,JavaScript,.NET","<a href=""https://gigatechltd.com/"">Website</a>","SAM Tower (Level 7)House No. 4, Road No 22, Gulshan-1, Dhaka-1212, Bangladesh"
Golden Harvest InfoTech Ltd (GHIT),"C#,ASP Dot Net,MVC,Web API,Dot Net Core,PHP,Java,Spring,MVC,Java EE Framework,MYSQL,MS-SQL Server,Oracle,Angular JS,React JS","<a href=""http://ghitbd.com/"">Website</a>","Rupayan Shelford (9th Floor), 23/6, Mirpur Road, Shyamoli, Dhaka-1207, Bangladesh."
Grameen Solutions Ltd,"Java,PHP","<a href=""https://www.grameensolutions.com/"">Website</a>","Grameen Bank Tower 12th Floor, Mirpur 2, Dhaka 1216"
Grit Technologies Limited,"Javascript,Python,Go,PHP,PostgreSQL,MongoDB,React Native,Figma,Cypress,Docker,AWS,Microservices,IoT,LLM,XR","<a href=""https://www.grit0.com/"">Website</a>","Level 4, Vision 2021 Tower, 49 Kawran Bazar, Dhaka 1215"
hSenid Mobile Solutions Limited,"Java,Kotlin,NodeJS,Apache,Spring Framework,JUnit,Mokito,Mysql,Jenkins,AWS","<a href=""https://www.hsenidmobile.com/"">Website</a>","HR Bhaban (6th Floor), 100, Br Uttom A.K. Khandaker Sarak, Mohakhali C/A, Dhaka 1212"
HypeScout,"JavaScript,React,Node,Mongoose,Flutter,Swift","<a href=""https://www.hypescout.co/"">Website</a>","Banani, Road 2/1, Dhaka-1212."
IBCS-Primax,"Java,Spring","<a href=""http://www.ibcs-primax.com/ibcsonweb/"">Website</a>","House 51, Road 10A, Dhanmondi R/A, Dhaka-1209, Bangladesh"
IBOS Limited,"JavaScript,React,Java,PHP,MySQL","<a href=""https://www.ibos.io"">Website</a>","6/2 Kazi Nazrul Islam Rd, Lalmatia, Dhaka 1207"
IdeaScale Bangladesh,"Java,Spring Framework,JPA,JMS,jQuery,ReactJS","<a href=""https://ideascale.com/"">Website</a>","Quantum Mustafa Tower (Floor: 4&amp;5) 18, Gaus-ul-Azam Avenue, Sector-13 Uttara, Dhaka"
InfancyIT,"PHP,Java,Android,iOS,Laravel,JavaScript,Node.js,Vue.js,React.js,React Native","<a href=""http://www.infancyit.com"">Website</a>","2nd Floor, Elahi 8B, Surma Gate, Akhalia, Sylhet-3100, Bangladesh"
Inflack Limited,"PHP,Laravel,JAVA,Spring,JavaScript,Python,Django,REST,Microservices,SQL,NoSQL,SQS,SNS","<a href=""http://inflack.com/"">Website</a>","H-36, B-A, R-1, Bashundhara Residential Area, Dhaka"
Infocrat Solutions Ltd.,"C#,.NET","<a href=""https://www.infocratsolutions.com/"">Website</a>","Rupayan Shelford (9th Floor), 23/6, Mirpur Road, Shyamoli, Dhaka-1207, Bangladesh."
Instalogic,"PHP,Laravel,MySQL,Java,Python,Django,JavaScript,React,Drupal,Angular,Vue,Wordpress","<a href=""https://instalogic.com.bd/"">Website</a>","3rd Floor, House-483, Road-08, Baridhara DOHS, Dhaka-1206"
Integrated Software and Technologies Ltd.,"C,Java,jQuery","<a href=""https://www.istlbd.com/"">Website</a>","Avenue 9, Road 9, House 1043 (2nd Floor), DOHS Mirpur, Dhaka, Bangladesh"
Intellier Limited,"Java,Spring,REST","<a href=""https://intellier.com/"">Website</a>","House 10, Road 14, Sector 01, Uttara, Dhaka 1230"
iPay,"Android,Java,HTML,CSS,MongoDB,PostgreSQL","<a href=""https://www.ipay.com.bd/"">Website</a>","52 Gulshan Avenue, Silver Tower (Level 12), Dhaka-1212"
Invento Software Limited,"JavaScript,Python,Django,WordPress,PHP","<a href=""http://invento.com.bd/"">Website</a>","House no: 484 (4th Floor), Road no 32, Mohakhali DOHS, Dhaka 1206"
Inverse.AI,"Web,Android,iOS","<a href=""https://inverseai.com/"">Website</a>","11th floor, Ananda Tower, Jail Rd, Sylhet 3100"
IPvision,Java,"<a href=""http://ipvision.ca/"">Website</a>","House 57, Road 8, Block D, Niketon, Dhaka-1212"
"IQVIA, Dhaka",".Net,Python,Javascript,Angular","<a href=""https://www.iqvia.com/"">Website</a>","51, 52 Bir Uttam AK Khandakar Road, Dhaka 1212"
Isratts Technologies,"","<a href=""http://www.israttstech.com/"">Website</a>","House 58, Road 05, O R Nizam Rd R/A, GEC, Chattogram, Bangladesh"
ITmedicus,"PHP,Laravel,Java,Kotlin,Dart","<a href=""http://itmedicus.com/"">Website</a>","Eastern Housing, Basherpool, Demra, Bangladesh"
Innovative Software,"Java,Android,Python","<a href=""http://innovativesoftware.eu/"">Website</a>","Behind Venus Auto, Chuknagar, Khulna Road Bangladesh"
IXORA Solution,"React,Vue,Typescript,NodeJS,Django,SpringBoot,Flutter,Swift,SQL,MongoDB","<a href=""https://ixorasolution.com"">Website</a>","Jahangir Tower (7th Floor), M-5, Section-14, Mirpur, Dhaka-1206."
Jatri Services Limited,"Web App,Mobile App,IoT","<a href=""https://www.jatri.co"">Website</a>","Road 24, House 15, Gulshan-02, Dhaka 1212"
Joomshaper,"Joomla,WordPress,HTML5,CSS3,JavaScript,React","<a href=""https://www.joomshaper.com"">Website</a>","Navana Newbury Place, 4/1/A Sobhanbag Rd, Dhaka-1205"
JoulesLabs,"WordPress,HTML5,CSS3,JavaScript,React","<a href=""https://jouleslabs.com/"">Website</a>","A-6, 6th Floor, House 666/668, Road 09, Avenue 04, Dhaka 1216"
Kaz Software,".Net,Java,PHP,AngularJS,React","<a href=""http://kaz.com.bd/"">Website</a>","28/1 Eskaton Garden, Dhaka, Bangladesh"
Kona Software Lab,"Java,Spring,C++,JavaScript,Android,Kotlin,AI,Blockchain","<a href=""https://konasl.com"">Website</a>","Police Plaza Concord, Tower-A, Plot-2, Road-144, Dhaka"
"Kovair Software, Inc.","Java,JEE,Spring,Angular JS","<a href=""https://www.kovair.com/"">Website</a>",Dhaka
LeadSoft,"","<a href=""http://leads.com.bd/"">Website</a>","Rupayan trade Centre, 17th Floor, 114 Kazi Nazrul Islam Avenue, Bangla Motors, Dhaka 1000. (At Bangla Motor Roundabout)."
LIILab,"Android,UI/UX,Python,Java,Kotlin,Django,React,Wordpress","<a href=""http://liilab.com"">Website</a>","House No. 2, 3rd Floor, Dorgah Gate, Dorgah Moholla, Sylhet, Bangladesh"
Markopolo AI,"AI,Machine Learning,Deep Learning","<a href=""https://www.markopolo.ai/"">Website</a>","79 Gulshan Ave, Dhaka 1212"
Magnito Digital,"Mobile app development,Web Design &amp; Development,Digital Marketing,Analytics","<a href=""http://magnitodigital.com/"">Website</a>
<a href=""https://www.facebook.com/magnitodigital"">Facebook</a>
<a href=""https://www.linkedin.com/company/magnito-digital/"">LinkedIn</a>","3rd Floor, House-7, Road-23/B, Gulshan-1, Dhaka, Bangladesh"
Mazegeek Technologies BD Ltd.,"PHP,Laravel,.Net,Android,iOS,Javascript,Node.js,Vue.js,Angular,React,Python,Ruby on Rails,AWS,firebase,Docker","<a href=""https://www.mazegeek.com/"">Website</a>","House:105, Road:13/A, Block: C, Banani, Dhaka-1213"
Medina Tech Ltd.,"Python,Node.js,Django,PHP,React,Next.js,Vue,AI,Machine Learning,Unity,AR,Android,IOS,React Native,AWS","<a href=""https://www.medinatech.co//"">Website</a>
<a href=""https://www.facebook.com/medinatech.co/"">Facebook</a>
<a href=""https://www.linkedin.com/company/medina-tech/"">LinkedIn</a>","<em>Bangladesh Office:</em> 7th Floor, Wasi Tower, ECB Chattar, Matikata Road, Dhaka Cantonment, Dhaka-1206<br>
<em>USA Office:</em> 54w 40th St, We Work Space-Medina Tech Limited, New York, NY 10018, USA"
Metafour Asia,"Java,Spring","<a href=""http://www.metafour.com"">Website</a>","Takia Center (7th Floor), 39 Sonargaon Janapath, Sector 7, Uttara, Dhaka 1230"
Metatude Asia Ltd,"Java,JavaScript,Angular,.NET,AWS","<a href=""https://www.fellowdigitals.com/metatude"">Website</a> <a href=""https://www.linkedin.com/company/metatude-asia-ltd/"">LinkedIn</a>","Mark Mansion (Level 4 &amp; 5), 36 Sonargaon Janapath, Sector 9, Uttara, Dhaka – 1230"
